name,url,remote_testing,adaptive_irt,duration,test_type
Graduate 7.1 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-7-1-job-focused-assessment/,False,False,1,"Biodata & Situational Judgement, Competencies"
Graduate 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,False,False,20,"Personality & Behavior, Biodata & Situational Judgement"
Guest Service Team 7.0 Solution,https://www.shl.com/products/product-catalog/view/guest-service-team-7-0-solution/,False,False,1,Biodata & Situational Judgement
Teller 7.0,https://www.shl.com/products/product-catalog/view/teller-7-0/,False,False,1,"Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations"
Teller with Sales - Short Form,https://www.shl.com/products/product-catalog/view/teller-with-sales-short-form/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations"
Transcriptionist Solution,https://www.shl.com/products/product-catalog/view/transcriptionist-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior"
Workplace Safety - Individual 7.0 Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-0-solution/,False,False,1,Biodata & Situational Judgement
Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-1-solution/,False,False,1,Biodata & Situational Judgement
Workplace Safety - Team 7.0 Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-0-solution/,False,False,1,Biodata & Situational Judgement
Workplace Safety - Team 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,False,False,1,"Biodata & Situational Judgement, Competencies, Personality & Behavior"
Workplace Safety - Team 7.1 (International),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-solution/,False,False,1,"Biodata & Situational Judgement, Competencies, Personality & Behavior"
Workplace Safety Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-solution/,False,False,1,"Biodata & Situational Judgement, Personality & Behavior"
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,False,False,1,Knowledge & Skills
